"Accident_Number","Event_Date","Location","Country","Latitude","Longitude","Airport_Code","Airport_Name","Injury_Severity","Aircraft_Damage","Registration_Number","Make","Model","Schedule","Air_Carrier","Total_Fatal_Injuries","Total_Serious_Injuries","Total_Uninjured","Weather_Condition","Broad_Phase_of_Flight"
"ATL96FA101","7/8/96","NASHVILLE, TN","United States","","","BNA","NASHVILLE INTERNATIONAL","Non-Fatal","Minor","N53SW","Boeing","737","SCHD","","0","1","122","IMC","TAKEOFF"
"DCA95RA051","8/9/95","SAN VICENTE, El Salvador","El Salvador","","","","","Fatal(65)","Destroyed","N125GU","Boeing","737","SCHD","","65","0","0","IMC",""
"DCA95RA017","2/1/95","SAN PAULO, Brazil","Brazil","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","2","0","UNK",""
"DCA99WA050","3/4/99","BIARRITZ, France","France","","","","","Unavailable","Substantial","","Boeing","737","SCHD","","0","0","","IMC",""
"LAX98LA104","3/4/98","RENO, NV","United States","","","","","Non-Fatal","","N746AS","Boeing","737","SCHD","","0","1","110","VMC","CRUISE"
"FTW97LA215","6/11/97","ALBUQUERQUE, NM","United States","","","","","Non-Fatal","","N980UA","Boeing","737","SCHD","","0","1","107","VMC","DESCENT"
"FTW95LA103","1/27/95","DALLAS, TX","United States","","","DAL","DALLAS LOVE FIELD","Non-Fatal","","N71SW","Boeing","737","SCHD","","0","1","124","VMC","STANDING"
"DCA10WA054","4/24/10","Riyadh, Saudi Arabia","Saudi Arabia","","","RUH","King Khaled International Airp","Incident","Minor","N444HE","Boeing","737","","","0","0","9","",""
"NYC00LA097","2/3/00","BOSTON, MA","United States","","","BOS","LOGAN INT'L AIRPORT","Non-Fatal","","N397US","Boeing","737","SCHD","","0","1","59","VMC","CRUISE"
"DCA99WA061","6/9/99","ZHANJIANG, China","China","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","71","UNK",""
"NYC98IA165","8/7/98","MCCONNELLSBURG, PA","United States","","","","","Incident","Minor","N515AU","Boeing","737","SCHD","","0","0","122","VMC","CLIMB"
"DCA98RA013","12/19/97","","Indonesia","","","","","Fatal(97)","Destroyed","","Boeing","737","UNK","","97","0","0","UNK",""
"CHI97LA162","6/8/97","VALPARAISO, IN","United States","","","","","Non-Fatal","","N321UA","Boeing","737","SCHD","","0","1","79","IMC","DESCENT"
"DCA97WA045","5/8/97","SHENZHEN, China","China","","","","","Fatal(35)","Destroyed","","Boeing","737","SCHD","","35","0","","UNK",""
"FTW96IA210","5/10/96","DALLAS, TX","United States","","","DAL","DALLAS LOVE FIELD","Incident","Minor","N315SW","Boeing","737","SCHD","","0","0","50","VMC","LANDING"
"LAX96IA184","4/30/96","ONTARIO, CA","United States","","","KONT","ONTARIO INTERNATIONAL","Incident","Minor","N331SW","Boeing","737","SCHD","","0","0","132","VMC","APPROACH"
"FTW98FA273","6/17/98","DENVER, CO","United States","","","DEN","DENVER INTERNATIONAL","Non-Fatal","Substantial","N364UA","Boeing","737","SCHD","","0","0","70","VMC","TAXI"
"FTW95IA083","1/1/95","HOUSTON, TX","United States","","","","","Incident","","N326SW","Boeing","737","SCHD","","0","0","66","VMC","APPROACH"
"NYC96IA022","11/2/95","PORTLAND, ME","United States","","","PWM","PORTLAND INT'L JETPORT","Incident","Minor","N373US","Boeing","737","SCHD","","0","0","62","IMC","TAKEOFF"
"MIA95IA187","7/18/95","ORLANDO, FL","United States","","","","","Incident","","N390US","Boeing","737","SCHD","","0","0","120","VMC","DESCENT"
"FTW95IA348","8/18/95","LUBBOCK, TX","United States","","","LBB","LUBBOCK INTERNATIONAL","Incident","Minor","N309SW","Boeing","737","SCHD","","0","0","114","VMC","TAKEOFF"
"DCA00WA018","1/2/00","AMSTERDAM, Netherlands","Netherlands","","","","","Incident","Minor","","Boeing","737","NSCH","","0","0","143","UNK",""
"DCA98WA065","6/20/98","MARSEILLES, France","France","","","","","Incident","","","Boeing","737","SCHD","","0","0","0","UNK",""
"DCA00WA042","4/18/00","BRISBANE, Australia","Australia","","","","","Incident","","","Boeing","737","SCHD","","0","0","","VMC",""
"DCA98WA070","7/2/98","BRAZIL, Brazil","Brazil","","","","","Incident","","","Boeing","737","SCHD","","0","0","5","UNK",""
"MIA97WA069","1/18/97","ARUBA, Aruba","Aruba","","","","","Non-Fatal","Minor","","Boeing","737","NSCH","","0","1","156","VMC",""
"ANC97LA015","12/22/96","YAKUTAT, AK","United States","","","","","Non-Fatal","","N775AS","Boeing","737","SCHD","","0","2","39","VMC","CRUISE"
"NYC00LA267","9/15/00","FLUSHING, NY","United States","","","LGA","LA GUARDIA","Non-Fatal","Substantial","N461PR","Boeing","737","SCHD","","0","0","58","VMC","TAXI"
"LAX97IA161","4/16/97","RIALTO, CA","United States","","","","","Incident","","N930UA","Boeing","737","SCHD","","0","0","99","VMC","APPROACH"
"LAX97LA051","11/19/96","BISHOP, CA","United States","","","","","Non-Fatal","","N916UA","Boeing","737","SCHD","","0","1","112","VMC","CRUISE"
"NYC95IA114B","5/19/95","NEWARK, NJ","United States","","","EWR","NEWARK INTERNATIONAL","Incident","Minor","N13624","Boeing","737","SCHD","","0","0","288","VMC","TAXI"
"SEA98IA027","12/25/97","EUGENE, OR","United States","","","EUG","MAHLON SWEET FIELD","Incident","","N918UA","Boeing","737","SCHD","","0","0","105","VMC","STANDING"
"FTW98RA401","9/16/98","GUADALAJARA, Mexico","Mexico","","","","","Non-Fatal","Substantial","N20643","Boeing","737","SCHD","","0","0","108","VMC",""
"MIA98IA193","7/7/98","BIRMINGHAM, AL","United States","","","","","Incident","Minor","N701GS","Boeing","737","SCHD","","0","0","96","VMC","DESCENT"
"DCA98WA062","6/27/98","MUNICH, Germany","Germany","","","","","Incident","","","Boeing","737","SCHD","","0","0","","UNK",""
"OPS11IA101A","11/11/10","66 NM East of Hobe Sound, FL","United States","","","","","Incident","","","Boeing","737","SCHD","","0","0","","VMC",""
"DCA98MA015","12/28/97","PACIFIC OCEAN","","","","","","Fatal(1)","Minor","N4723U","Boeing","747","SCHD","","1","18","203","VMC","CRUISE"
"LAX96LA035","11/1/95","PACIFIC OCEAN","","","","","","Non-Fatal","","N4714U","Boeing","747","SCHD","","0","1","300","VMC","CRUISE"
"DCA96MA070","7/17/96","EAST MORICHES, NY","United States","","","","","Fatal(230)","Destroyed","N93119","Boeing","747","SCHD","","230","0","0","VMC","CLIMB"
"CHI95IA095","2/25/95","CHICAGO, IL","United States","","","ORD","CHICAGO O'HARE INT'L","Incident","","GAWNM","Boeing","747","SCHD","","0","0","357","VMC","CLIMB"
"DCA00WA058","6/12/00","ENGLISH CHANNEL, United Kingdom","United Kingdom","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","","UNK",""
"DCA00WA049","5/12/00",", Ireland","Ireland","","","","","Incident","","N520UP","Boeing","747","NSCH","","0","0","","UNK",""
"DCA99WA039","2/8/99","AMSTERDAM, Netherlands","Netherlands","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","3","UNK",""
"DCA00RA017","12/22/99","STANSTED, United Kingdom","United Kingdom","","","","","Fatal(4)","Destroyed","","Boeing","747","NSCH","","4","0","0","IMC",""
"DCA99WA047","3/5/99","MADRAS, India","India","","","","","Non-Fatal","Destroyed","","Boeing","747","SCHD","","0","0","2","UNK",""
"DCA98WA087","9/11/98","PARIS, France","France","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","4","UNK",""
"NYC00LA085","2/27/00","PROVIDENCE, RI","United States","","","","","Non-Fatal","","GBDXL","Boeing","747","SCHD","","0","1","371","IMC","DESCENT"
"SEA99IA032","1/20/99","PACIFIC OCEAN","","","","","","Incident","Minor","N14024","Boeing","747","SCHD","","0","0","340","VMC","CRUISE"
"LAX96IA087","1/5/96","LOS ANGELES, CA","United States","","","","","Incident","Minor","N628US","Boeing","747","SCHD","","0","0","385","VMC","CLIMB"
"ANC01IA007","10/15/00","ANCHORAGE, AK","United States","","","PANC","ANCHORAGE INTERNATIONAL","Incident","Minor","N629US","Boeing","747","NSCH","","0","0","3","VMC","TAKEOFF"
"ANC99LA099","7/29/99","ANCHORAGE, AK","United States","","","","","Non-Fatal","Substantial","N707CK","Boeing","747","NSCH","","0","0","5","VMC","CLIMB"
"DCA00WA074","7/23/00","MONTREAL, Canada","Canada","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","","IMC",""
"DCA97MA058","8/6/97","NIMITZ HILL, GU","United States","","","KGUM","AGANA INTERNATIONAL AIRPO","Fatal(228)","Destroyed","H7468","Boeing","747","SCHD","","228","26","","IMC","APPROACH"
"DCA99WA086","9/23/99","BANGKOK, Thailand","Thailand","","","","","Unavailable","Substantial","","Boeing","747","SCHD","","0","0","","IMC",""
"DCA99WA014","11/28/98","LONDON, United Kingdom","United Kingdom","","","","","Incident","Minor","","Boeing","747","UNK","","0","0","","UNK",""
"DCA98WA079","8/5/98","SEOUL, Korea, Republic Of","Korea, Republic Of","","","","","Unavailable","Substantial","","Boeing","747","UNK","","0","0","","IMC",""
"DCA98WA076","7/31/98","COLOGNE, Germany","Germany","","","","","Incident","Minor","N671UP","Boeing","747","NSCH","","0","0","0","UNK",""
"DCA97WA047A","5/14/97","LONDON, United Kingdom","United Kingdom","","","","HEATHROW INTERNATIONAL","Non-Fatal","Minor","","Boeing","747","SCHD","","0","0","573","VMC",""
"ANC97LA056","4/12/97","ANCHORAGE, AK","United States","","","ANC","ANCHORAGE INTERNATIONAL","Non-Fatal","Substantial","VRHUK","Boeing","747","NSCH","","0","0","4","VMC","APPROACH"
"ANC01IA022","12/12/00","PORT HEIDEN, AK","United States","","","","","Incident","Minor","N119UA","Boeing","747","SCHD","","0","0","386","VMC","CRUISE"
"LAX96LA013","10/17/95","PACIFIC OCEAN","","","","","","Non-Fatal","","N191UA","Boeing","747","SCHD","","0","1","331","VMC","CRUISE"
"LAX99FA218B","6/6/99","LOS ANGELES, CA","United States","33.938611","-118.408889","LAX","Los Angeles International","Non-Fatal","Substantial","F-GTOM","Boeing","747","SCHD","","0","0","699","VMC","STANDING"
"DCA00WA059","6/7/00","FRANKFURT, Germany","Germany","","","","","Incident","Minor","","Boeing","747","SCHD","","0","0","","UNK",""
"DCA99WA077","9/2/99","TAIPEI, Taiwan","Taiwan","","","","","Incident","Substantial","","Boeing","747","SCHD","","0","0","3","UNK",""
"DCA99RA001","10/5/98","MOPZAMBIQUE, Mozambique","Mozambique","","","","","Non-Fatal","Substantial","","Boeing","747","SCHD","","0","0","3","UNK",""
"DCA01WA004","11/15/00","COPENHAGEN, Denmark","Denmark","","","","","Incident","Minor","","Boeing","757","NSCH","","0","0","97","UNK",""
"DCA98WA024","2/17/98","BRUSSELS, Belgium","Belgium","","","","","Incident","Minor","","Boeing","757","SCHD","","0","0","2","UNK",""
"MIA98WA048","1/1/98","PUERTO PLATA, Dominican Republic","Dominican Republic","","","","","Non-Fatal","Substantial","","Boeing","757","NSCH","","0","0","213","VMC",""
"MIA97WA226","8/2/97","LIMA, Peru","Peru","","","","","Fatal(1)","","N12114","Boeing","757","SCHD","","1","0","149","UNK",""
"IAD96LA058","4/7/96","ATLANTIC OCEAN","","","","","","Non-Fatal","","N653A","Boeing","757","SCHD","","0","1","193","UNK","CRUISE"
"DCA96RA030","2/6/96","PUERTO PLATA, Dominican Republic","Dominican Republic","","","","","Fatal(189)","Destroyed","","Boeing","757","NSCH","","189","0","0","VMC",""
"CHI00IA018","10/28/99","CHICAGO, IL","United States","","","","","Incident","","N575UA","Boeing","757","SCHD","","0","0","68","VMC","CRUISE"
"DEN99LA037","2/7/99","CLIMAX, CO","United States","","","","","Non-Fatal","","N586UA","Boeing","757","SCHD","","0","1","28","VMC","CRUISE"
"FTW98IA019","10/16/97","SEATTLE, WA","United States","","","","","Incident","Minor","N581UA","Boeing","757","SCHD","","0","0","196","VMC","CLIMB"
"ANC96LA026B","2/20/96","FAIRBANKS, AK","United States","","","FAI","FAIRBANKS INTERNATIONAL","Non-Fatal","Substantial","N524UA","Boeing","757","SCHD","","0","0","91","VMC","STANDING"
"MIA98WA251","9/20/98","LA PAZ, Bolivia","Bolivia","","","","","Non-Fatal","Substantial","N650AA","Boeing","757","SCHD","","0","0","162","IMC",""
"FTW97IA261","7/10/97","DICKINSON, ND","United States","","","","","Incident","Minor","N660AM","Boeing","757","SCHD","","0","0","133","VMC","CRUISE"
"LAX00FA097","2/12/00","SAN SALVADOR, El Salvador","El Salvador","","","MSLP","El Salvador International","Non-Fatal","Substantial","N671DN","Boeing","757","SCHD","","0","0","161","VMC","LANDING"
"LAX99FA207","6/2/99","PHOENIX, AZ","United States","","","PHX","PHOENIX SKY HARBOR INTL.","Non-Fatal","Substantial","N656DL","Boeing","757","SCHD","","0","0","127","VMC","LANDING"
"ATL97IA035","1/31/97","ATLANTA, GA","United States","","","ATL","HARTSFIELD INTERNATIONAL","Incident","Minor","N611DL","Boeing","757","SCHD","","0","0","168","VMC","CLIMB"
"ENG09WA006","5/1/09","Guayaquil, Ecuador","Ecuador","","","GYE","Simon Bolivar International","Incident","","","Boeing","757","","","0","0","","",""
"FTW98LA243","5/24/98","WICHITA, KS","United States","","","","","Non-Fatal","","N619AU","Boeing","757","SCHD","","0","1","121","VMC","CRUISE"
"LAX00LA072","1/11/00","LAS VEGAS, NV","United States","","","","","Non-Fatal","","N909AW","Boeing","757","SCHD","","0","1","42","VMC","CRUISE"
"DCA98WA057","6/22/98","LARNACA, Cyprus","Cyprus","","","","","Incident","Minor","","Boeing","757","UNK","","0","0","217","VMC",""
"NYC00IA036","11/20/99","JAMAICA, NY","United States","","","JFK","JOHN F KENNEDY INTL","Incident","","N610UA","Boeing","767","SCHD","","0","0","179","VMC","APPROACH"
"CHI00IA152","6/7/00","LAFAYETTE, IN","United States","","","","","Incident","","N603UA","Boeing","767","SCHD","","0","0","165","VMC","CRUISE"
"CHI95LA188","6/20/95","CHAMPAGNE, IL","United States","","","","","Non-Fatal","","N606UA","Boeing","767","SCHD","","0","4","144","VMC","CRUISE"
"DEN00IA023","12/6/99","SALT LAKE CITY, UT","United States","","","","","Incident","Minor","N111DN","Boeing","767","SCHD","","0","0","85","VMC","TAKEOFF"
"FTW97IA144","3/27/97","DFW AIRPORT, TX","United States","","","DFW","DALLAS-FT. WORTH INTL","Incident","Minor","N105DA","Boeing","767","SCHD","","0","0","198","VMC","APPROACH"
"IAD96IA048","2/20/96","PITTSBURGH, PA","United States","","","","","Incident","","N656US","Boeing","767","SCHD","","0","0","140","VMC","APPROACH"
"DCA99WA031","1/15/99","LONDON, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","N373AA","Boeing","767","SCHD","","0","0","91","UNK",""
"ATL97WA079","6/3/97","ASUNCION, Paraguay","Paraguay","","","","","Non-Fatal","","N651UA","Boeing","767","SCHD","","0","1","122","UNK",""
"NYC97FA098","5/22/97","NEWARK, NJ","United States","","","EWR","NEWARK INTERNATIONAL","Non-Fatal","Substantial","IDEIL","Boeing","767","SCHD","","0","0","168","VMC","LANDING"
"LAX97LA112","2/25/97","SAN FRANCISCO, CA","United States","","","","","Non-Fatal","","N661UA","Boeing","767","SCHD","","0","1","109","VMC","DESCENT"
"LAX99WA026","11/25/98","LAS VEGAS, NV","United States","","","","","Non-Fatal","Substantial","","Boeing","767","NSCH","","0","0","329","VMC",""
"DCA98WA046","4/4/98","KEFLAVIK, Iceland","Iceland","","","","","Incident","Minor","","Boeing","767","UNK","","0","0","","UNK",""
"DCA98RA016","1/9/98","LONDON, United Kingdom","United Kingdom","","","","","Non-Fatal","Minor","N653UA","Boeing","767","SCHD","","0","1","87","UNK",""
"ATL99WA004","10/4/98","SAO PAULO, Brazil","Brazil","","","SBGR","SAO PAULO INTERNATIOAL","Non-Fatal","","N1200K","Boeing","767","SCHD","","0","1","145","VMC",""
"SEA01LA014","11/4/00","PORTLAND, OR","United States","","","","","Non-Fatal","","N173DZ","Boeing","767","SCHD","","0","1","180","VMC","DESCENT"
"DCA00MA006","10/31/99","ATLANTIC OCEAN","","","","","","Fatal(217)","Destroyed","SUGAP","Boeing","767","SCHD","","217","0","","VMC",""
"DCA00WA007","11/5/99","LONDON, United Kingdom","United Kingdom","","","","","Non-Fatal","Substantial","N784UA","Boeing","777","SCHD","","0","0","274","UNK",""
"CHI00WA045","12/13/99","LONDON, United Kingdom","United Kingdom","","","","","Non-Fatal","","N786UA","Boeing","777","SCHD","","0","1","185","IMC",""
"MIA99WA029","11/11/98","CONCEPCION, Bolivia","Bolivia","","","","","Non-Fatal","","N784UA","Boeing","777","SCHD","","0","1","227","UNK",""
"CHI00IA125","4/25/00","CHICAGO, IL","United States","","","ORD","O'HARE INTERNATIONAL","Incident","","N779AN","Boeing","777","SCHD","","0","0","167","VMC","TAKEOFF"
"DCA00WA025","2/12/00","LUANDA, Angola","Angola","","","","","Non-Fatal","Destroyed","","Boeing","727","NSCH","","0","0","7","IMC",""
"CHI97IA205","7/9/97","INDIANAPOLIS, IN","United States","","","IND","INDIANAPOLIS INTL","Incident","Minor","N770AT","Boeing","727","NSCH","","0","0","11","IMC","STANDING"
"DCA96RA014","12/3/95","DOUALA, Cameroon","Cameroon","","","","","Fatal(72)","Destroyed","","Boeing","737","SCHD","","72","5","0","VMC",""
"DCA98WA048","5/29/98","BOMBAY, India","India","","","","","Unavailable","Substantial","","Boeing","737","SCHD","","0","0","","UNK",""
"DCA96IA005","10/29/95","SAN FRANCISCO, CA","United States","","","","","Incident","","N904UA","Boeing","737","","","0","0","3","IMC","GO-AROUND"
"DCA00RA089","9/5/00","JAKARTA, Indonesia","Indonesia","","","","","Unavailable","Substantial","","Boeing","747","UNK","","0","0","0","UNK",""
"CHI00IA248B","8/6/00","CHICAGO, IL","United States","","","ORD","O'HARE INTERNATIONAL","Incident","","N119UA","Boeing","747","SCHD","","0","0","363","VMC","TAKEOFF"
"FTW96LA157","3/23/96","TAOS, NM","United States","","","","","Non-Fatal","","N503UA","Boeing","757","SCHD","","0","1","140","VMC","CRUISE"
"DCA97RA001","10/2/96","LIMA, Peru","Peru","","","","","Fatal(70)","Destroyed","N52AW","Boeing","757","SCHD","","70","0","0","IMC",""
"FTW96RA039","11/7/95","PANAMA CITY, Panama","Panama","","","","","Incident","Minor","N79750","Boeing","727","SCHD","","0","0","10","UNK",""
"DCA00RA065","6/13/00","RIO DE JANERO, Brazil","Brazil","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","85","UNK",""
"DCA00WA029","2/27/00","PORTO ALEGRE, Brazil","Brazil","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","123","IMC",""
"DCA00WA031","3/26/00","JEDDAH, Saudi Arabia","Saudi Arabia","","","","","Incident","Substantial","","Boeing","747","NSCH","","0","0","16","UNK",""
"DCA96RA020","12/20/95","BUGA, Colombia","Colombia","","","","","Fatal(160)","Destroyed","N651AA","Boeing","757","SCHD","","160","4","0","VMC",""
"DCA97WA047B","5/14/97","LONDON, United Kingdom","United Kingdom","","","","HEATHROW INTERNATIONAL","Non-Fatal","Substantial","N770UA","Boeing","777","SCHD","","0","0","573","VMC",""
"DCA99WA081","3/20/99","GENEVA, Switzerland","Switzerland","","","","","Incident","Minor","","McDonnell Douglas","MD-80","SCHD","","0","0","2","UNK",""
"DCA10RA010","10/21/09","Sharjah, United Arab Emirates","United Arab Emirates","","","SHJ","Sharjah International Airport","Fatal(6)","Destroyed","","Boeing","707","NSCH","","6","0","","",""
"DCA02WA048","7/4/02","Bangui, Central African Republic","Central African Republic","","","","","Fatal(23)","Destroyed","","Boeing","707","NSCH","","23","2","","VMC",""
"DCA01WA029","3/7/01","Sao Paulo, Brazil","Brazil","","","","","Non-Fatal","Substantial","","Boeing","707","NSCH","","0","0","3","",""
"ENG03RA003","11/24/02","Hobart,Tasmania, Australia","Australia","","","","","Incident","","","Boeing","717","SCHD","","0","0","","",""
"DCA13WA069","3/5/13","Porto Velho, Brazil","Brazil","","","SBPV","Porto Velho","Incident","","","Boeing","727","SCHD","","0","0","3","","LANDING"
"DCA11WA085","7/16/11","St. John's, Canada","Canada","","","","","Incident","Minor","","Boeing","727","SCHD","","0","0","3","",""
"DCA11RA080","7/8/11","Kisangani, Congo","Congo","","","","","Fatal(77)","Substantial","","Boeing","727","SCHD","","77","0","35","",""
"DCA11WA069","1/9/11","Urmia, Iran","Iran","","","OITR","Orumiyeh Airport","Unavailable","Destroyed","","Boeing","727","SCHD","","0","0","","","GO-AROUND"
"DCA10WA040","2/21/10","Torino, Italy","Italy","","","LIMF","Turin International Airport","Incident","","","Boeing","727","SCHD","","0","0","239","",""
"DCA10WA028","12/17/09","Manaus, Brazil","Brazil","","","SBEG","Manaus, Brazil","Non-Fatal","Minor","","Boeing","727","SCHD","","0","0","3","",""
"DCA16RA108","3/19/16","Rostov-on-Don, Russia","Russia","","","","Rostov-on-Don Airport","Fatal(62)","Destroyed","","Boeing","737","SCHD","","62","0","","","GO-AROUND"
"DCA16WA095","1/16/16","Kiev, Ukraine","Ukraine","","","","Zhuliany","Incident","Minor","","Boeing","737","SCHD","","0","0","","IMC","LANDING"
"DCA16WA079","1/7/16","Gran Canaria, Spain","Spain","","","GCLP","Gran Canaria Intl Airport","Incident","","","Boeing","737","","","0","0","","","TAKEOFF"
"DCA16WA042","1/7/16","Cluj-Napoca, Romania","Romania","","","LRCL","Cluj-Napoca International","Incident","","","Boeing","737","","","0","0","116","","LANDING"
"DCA16WA029","12/6/15","Singapore, Singapore","Singapore","","","","","Incident","Minor","","Boeing","737","","","0","0","","",""
"DCA16WA072","12/3/15","Portela, Portugal","Portugal","","","LPPT","Portela Airport","Incident","","","Boeing","737","","","0","0","180","",""
"DCA16WA025","11/26/15","Mexico City, Mexico","Mexico","","","","Mexico City","Unavailable","Substantial","","Boeing","737","","","0","0","","","LANDING"
"DCA16WA024","11/22/15","Osh, Kyrgyzstan","Kyrgyzstan","40.608889","72.793055","UCFO","Osh Airport","Non-Fatal","Substantial","","Boeing","737","","","0","0","160","IMC","LANDING"
"DCA16WA020","11/3/15","Lahore, Pakistan","Pakistan","","","OPLA","Allama Iqbal Intl Airport","Non-Fatal","Substantial","","Boeing","737","","","0","0","121","","LANDING"
"DCA16WA016","11/2/15","Nicosia, Cyprus","Cyprus","","","","","Incident","Minor","","Boeing","737","","","0","0","185","","LANDING"
"DCA16WA007","10/20/15","Paderborn, Germany","Germany","","","","","Incident","Minor","","Boeing","737","","","0","0","","","LANDING"
"DCA15WA197","9/14/15","Frankfort, Germany","Germany","","","","","Incident","","","Boeing","737","","","0","0","188","","CRUISE"
"DCA15WA202","8/18/15","Trivandrum, India","India","","","","","Incident","","","Boeing","737","","","0","0","","","LANDING"
"DCA15WA209","7/23/15","Monterrey, Mexico","Mexico","","","MMMY","Mariano Escobedo International","Incident","","","Boeing","737","","","0","0","139","","TAKEOFF"
"ENG15WA036","7/16/15","Quetta, Pakistan","Pakistan","30.24","66.94","OPQT","Quetta International Airport","Incident","Minor","","Boeing","737","","","0","0","","UNK","LANDING"
"DCA15WA147","6/30/15","Tanegashima, Japan","Japan","","","","","Incident","Minor","","Boeing","737","","","0","0","","",""
"DCA15WA210","6/12/15","Nauru, Nauru","Nauru","","","","Kosrae","Incident","","","Boeing","737","SCHD","","0","0","","","APPROACH"
"DCA15WA103","3/25/15","Tarapoto, Peru","Peru","","","","","Incident","","","Boeing","737","","","0","0","","","APPROACH"
"DCA14WA180","9/18/14","Eelde, Netherlands","Netherlands","","","","","Incident","","","Boeing","737","","","0","0","","",""
"DCA15WA014","8/20/14","Hat Yai, Thailand","Thailand","","","","","Incident","","","Boeing","737","","","0","0","","",""
"DCA14WA059","1/15/14","Grand Cayman, Cayman Islands","Cayman Islands","","","","","Incident","","","Boeing","737","","","0","0","","","LANDING"
"DCA14WA010A","11/7/13","Buenas Aires, Argentina","Argentina","-34.558889","-58.416389","","","Incident","Minor","","Boeing","737","","","0","0","175","",""
"ENG13WA042","8/30/13","Auckland, New Zealand","New Zealand","","","","","Incident","","","Boeing","737","","","0","0","","",""
"DCA13RA074","4/13/13","Denpasar, Indonesia","Indonesia","","","WADD","Ngurah Rai Bali Intrnl Airport","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","0","88","",""
"DCA13WA098","4/5/13","Padang, Indonesia","Indonesia","","","","","Unavailable","Substantial","","Boeing","737","SCHD","","0","0","","",""
"DCA13WA093","3/27/13","Valencian, Spain","Spain","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","176","",""
"DCA13WA067","3/12/13","Katowice, Poland","Poland","","","","","Incident","","","Boeing","737","SCHD","","0","0","185","",""
"DCA13WA167","3/8/13","Quetta, Pakistan","Pakistan","","","","","Incident","Minor","","Boeing","737","","","0","0","","",""
"DCA13WA064","3/6/13","Keflavik, Iceland","Iceland","","","","Keflavik","Incident","Minor","","Boeing","737","SCHD","","0","0","","","TAKEOFF"
"DCA13WA068","3/2/13","Graz, Austria","Austria","","","","","Incident","","","Boeing","737","SCHD","","0","0","63","",""
"DCA13WA070","2/25/13","Brisbane, Australia","Australia","","","","Brisbane","Incident","","","Boeing","737","SCHD","","0","0","","",""
"DCA13WA053","2/11/13","Muscat, Oman","Oman","","","","","Non-Fatal","Minor","","Boeing","737","SCHD","","0","0","107","",""
"DCA13WA059","2/5/13","Sao luis, Brazil","Brazil","","","","","Incident","","","Boeing","737","SCHD","","0","0","52","",""
"DCA13WA054","2/3/13","Seoul, Korea, Republic Of","Korea, Republic Of","","","","Gimpo","Incident","Minor","","Boeing","737","SCHD","","0","0","193","","LANDING"
"DCA13WA042","1/23/13","Genoa, Italy","Italy","","","","","Incident","","","Boeing","737","SCHD","","0","0","97","",""
"DCA13WA061","1/4/13","Launceston, Australia","Australia","","","","","Incident","","","Boeing","737","SCHD","","0","0","","",""
"DCA13WA033","12/8/12","Shonai, Japan","Japan","","","","","Incident","","","Boeing","737","SCHD","","0","0","167","",""
"DCA13WA032","12/4/12","Perth, Australia","Australia","","","","","Incident","","","Boeing","737","SCHD","","0","0","","",""
"DCA13WA031","11/24/12","Bogota, Colombia","Colombia","","","","","Incident","","","Boeing","737","SCHD","","0","0","116","",""
"DCA13WA029","11/1/12","Pontianak, Indonesia","Indonesia","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","","","LANDING"
"DCA13WA023","10/24/12","Casablanca, Morocco","Morocco","","","","Casablanca","Incident","Minor","","Boeing","737","SCHD","","0","0","","",""
"DCA13WA015","10/24/12","Brasilia, Brazil","Brazil","","","","","Incident","","","Boeing","737","","","0","0","78","",""
"DCA13WA011A","10/20/12","Riga, Latvia","Latvia","56.591111","23.843055","","","Incident","","","Boeing","737","SCHD","","0","0","","",""
"DCA13WA007","10/19/12","Pontianak, Indonesia","Indonesia","","","WIOO","Pontianak","Non-Fatal","Minor","","Boeing","737","SCHD","","0","0","160","IMC",""
"DCA13WA005","10/19/12","Glasgow, United Kingdom","United Kingdom","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","189","",""
"DCA13WA012","10/17/12","Canberra, Australia","Australia","","","","","Incident","","","Boeing","737","","","0","0","","",""
"DCA13RA001","10/14/12","Antalya, Turkey","Turkey","","","","","Non-Fatal","Substantial","","Boeing","737","SCHD","","0","2","195","",""
"DCA12WA147","9/13/12","Riyadh, Saudi Arabia","Saudi Arabia","","","","","Incident","Minor","","Boeing","737","SCHD","","0","0","","",""
"DCA12RA143","9/5/12","Mexico City, Mexico","Mexico","","","MEX","Mexico Intl","Incident","Minor","","Boeing","737","SCHD","","0","0","","",""
"DCA12WA142","9/3/12","Bonn, Germany","Germany","","","","","Incident","","","Boeing","737","NSCH","","0","0","192","",""
"DCA12WA120","7/30/12","Johannesburg, South Africa","South Africa","","","","","Incident","","","Boeing","737","","","0","0","145","",""
